Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111.0,88.34,88.34,87.04,86.88,53.5,45.92,61.4,85.15
cmcm,2222.0,87.61,87.58,89.02,88.94,55.83,47.23,64.25,84.19
cmcm,3333.0,87.03,86.97,88.72,88.7,52.04,43.73,70.34,81.83
cmcm,4444.0,87.46,87.39,89.94,89.89,52.92,45.77,63.09,84.57
cmcm,5555.0,88.05,88.01,89.94,89.93,54.37,46.06,64.71,85.21
,,87.698,87.658,88.932,88.868,53.732,45.742,64.758,84.19
cmcm,1111.0,88.05,88.01,89.94,89.93,54.37,46.06,64.71,85.21
cmcm,1111.0,77.99,77.85,82.32,81.76,49.85,41.25,82.01,78.51
cmcm,1111.0,78.13,78.0,82.62,82.08,49.85,41.25,81.92,78.55
cmcm,1111.0,77.99,77.85,82.47,81.91,49.56,40.96,82.05,78.49
cmcm,1111.0,86.44,86.45,86.43,86.16,50.87,43.15,69.28,82.22
cmcm,2222.0,86.3,86.23,88.57,88.55,50.29,41.4,74.12,81.21
cmcm,3333.0,87.61,87.6,88.72,88.7,54.08,46.5,66.11,83.38
cmcm,4444.0,86.01,85.93,87.96,87.91,50.73,41.25,70.64,81.9
cmcm,5555.0,85.86,85.86,87.35,87.39,50.29,41.69,71.3,81.48
cmcm,1111.0,87.32,87.32,88.72,88.72,53.21,46.36,67.96,84.16
cmcm,2222.0,88.05,88.02,89.48,89.47,54.81,46.65,61.42,85.89
cmcm,3333.0,85.71,85.65,87.65,87.64,49.13,38.05,74.55,79.65
cmcm,4444.0,87.61,87.56,89.02,89.0,50.0,42.13,69.06,83.28
cmcm,5555,86.88,86.85,89.63,89.59,54.52,46.36,65.53,84.23
