Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,84.72,77.02,79.59,59.96,84.72,27.49,73.91,48.3
cmcm,2222,82.59,73.5,77.18,54.06,82.54,30.7,70.65,41.32
cmcm,3333,84.04,76.4,78.82,55.13,84.04,29.67,70.27,46.53
cmcm,4444,84.62,75.57,79.88,59.38,84.67,29.45,72.98,43.52
cmcm,5555,82.88,73.71,77.08,54.84,82.85,30.54,72.02,41.21
cmcm,1111,77.47,69.36,71.95,48.74,77.19,34.33,63.31,33.38
cmcm,2222,82.3,74.12,77.47,56.19,82.36,29.28,71.0,44.15
cmcm,3333,81.91,72.67,76.02,54.06,81.87,29.01,73.03,48.76
cmcm,4444,83.37,74.74,78.05,55.13,83.44,29.63,71.31,42.98
cmcm,5555,82.4,73.91,77.08,57.06,82.39,29.54,71.61,44.41
cmcm,1111,80.66,71.64,76.02,56.67,80.37,29.52,69.79,40.11
cmcm,2222,80.08,72.26,71.76,52.32,79.6,28.97,71.33,46.35
cmcm,3333,79.4,71.22,72.82,50.77,79.07,31.47,69.92,36.03
cmcm,4444,81.82,73.91,76.79,54.45,81.58,28.7,71.36,46.75
cmcm,5555,75.24,68.32,66.54,46.52,74.08,31.51,67.04,39.86
