Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,86.67,86.72,82.22,82.52,57.05,55.14,50.47,79.04
cmcm,2222,87.21,86.93,72.51,72.65,57.57,55.74,50.07,78.38
cmcm,3333,86.13,85.48,64.39,63.53,56.04,53.94,54.65,73.97
cmcm,4444,86.78,86.5,80.08,80.41,56.02,53.83,51.3,78.3
cmcm,5555,86.69,86.29,70.09,69.96,57.03,54.84,52.06,77.56
cmcm,1111,86.82,86.52,69.65,69.52,56.79,54.71,51.83,77.46
cmcm,2222,87.38,87.26,74.9,75.19,56.36,54.35,51.86,78.53
cmcm,3333,86.56,86.45,67.61,67.2,57.12,54.86,52.76,77.1
cmcm,4444,86.82,86.72,81.59,81.89,56.39,54.3,50.5,79.83
cmcm,5555,86.99,86.89,76.39,76.7,56.39,54.56,50.4,78.53
cmcm,1111,87.21,86.82,68.96,68.72,57.35,54.15,51.73,79.68
cmcm,2222,86.97,86.59,76.5,76.84,57.05,54.54,50.67,79.49
cmcm,3333,86.69,86.43,75.43,75.68,57.03,54.93,51.13,78.36
cmcm,4444,87.04,86.9,77.08,77.38,55.38,52.72,51.49,79.6
cmcm,5555,86.86,86.56,68.93,68.69,56.9,54.71,51.45,78.29
