Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,80.37,72.05,74.18,54.64,79.87,29.03,71.0,44.0
cmcm,2222,80.08,72.26,71.76,52.32,79.6,28.97,71.33,46.35
cmcm,3333,79.4,71.22,72.82,50.77,79.07,31.47,69.92,36.03
cmcm,4444,80.46,72.67,74.85,52.42,79.79,28.51,72.11,49.35
cmcm,5555,75.24,68.32,66.54,46.52,74.08,31.51,67.04,39.86
cmcm,1111,83.27,76.4,77.56,56.77,83.09,28.2,72.17,46.35
cmcm,2222,82.88,74.33,77.37,56.96,82.67,28.51,71.95,46.1
cmcm,3333,80.27,72.26,72.34,51.74,79.71,29.09,72.33,45.66
cmcm,4444,81.53,73.71,73.21,49.9,81.33,29.86,72.26,41.13
cmcm,5555,79.59,72.88,74.37,53.48,79.34,31.39,68.41,38.37
cmcm,1111,82.69,74.12,76.6,56.96,82.48,27.99,73.85,46.83
cmcm,2222,79.21,72.88,70.5,51.06,78.31,28.74,71.98,45.93
cmcm,3333,78.43,69.98,71.08,48.94,77.48,30.87,70.66,42.33
cmcm,4444,83.75,76.19,78.63,58.41,83.76,29.4,71.56,41.2
cmcm,5555,75.24,68.32,68.09,47.29,74.18,31.66,66.8,37.54
