Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,85.51,85.09,74.85,75.15,55.83,53.72,54.17,74.64
cmcm,2222,85.94,85.51,76.09,76.41,55.57,53.53,53.15,76.26
cmcm,3333,81.13,79.92,68.44,68.51,51.04,49.86,62.23,63.55
cmcm,4444,85.55,85.44,75.37,75.67,55.89,53.98,53.08,76.24
cmcm,5555,84.76,83.96,77.66,78.02,53.27,51.79,55.54,73.53
cmcm,1111,86.54,86.3,74.63,74.86,57.76,55.53,50.92,78.82
cmcm,2222,86.65,86.27,73.86,74.05,58.02,55.93,50.22,78.98
cmcm,3333,86.78,86.55,73.86,74.07,57.03,55.01,51.11,78.12
cmcm,4444,86.52,86.37,75.26,75.53,57.07,55.1,51.21,78.31
cmcm,5555,87.23,87.04,76.09,76.39,58.55,56.28,50.02,79.02
cmcm,1111,86.54,86.3,74.63,74.86,57.76,55.53,50.92,78.82
cmcm,2222,86.65,86.27,73.86,74.05,58.02,55.93,50.22,78.98
cmcm,3333,86.78,86.55,73.86,74.07,57.03,55.01,51.11,78.12
cmcm,4444,86.52,86.37,75.26,75.53,57.07,55.1,51.21,78.31
cmcm,5555,87.23,87.04,76.09,76.39,58.55,56.28,50.02,79.02
