Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,81.34,81.38,83.69,83.59,48.83,40.23,78.25,76.02
cmcm,2222,83.38,83.38,85.52,85.39,52.19,44.75,71.08,80.34
cmcm,3333,77.84,77.89,80.18,80.18,44.46,37.32,89.06,69.41
cmcm,4444,76.53,76.55,78.66,78.63,40.09,34.69,95.76,65.45
cmcm,5555,79.3,79.26,83.08,83.03,45.77,38.34,86.18,70.87
cmcm,1111,81.49,81.5,81.55,81.12,50.58,42.71,81.81,73.41
cmcm,2222,81.63,81.61,82.32,82.23,49.85,42.71,79.4,74.78
cmcm,3333,84.4,84.4,85.52,85.48,50.29,43.29,73.75,79.71
cmcm,4444,83.09,83.13,84.3,84.19,43.59,37.76,79.32,76.1
cmcm,5555,84.11,84.14,85.98,86.01,51.46,44.31,73.67,80.2
